title,stars,comment
"







  
  
    Lovely
  
",4.0 out of 5 stars,"









  
  
    
  For sensitive skin

  
"
"







  
  
    Love it
  
",5.0 out of 5 stars,"









  
  
    
  Great product on closed or open eyes

  
"
"







  
  
    Very good product
  
",5.0 out of 5 stars,"









  
  
    
  Love love love

  
"
"







  
  
    Its one of the best thermal water sprays.. BUT
  
",1.0 out of 5 stars,"









  
  
    
  So much so that I've bought it 3x here and subsequently discovered its double the price of anywhere else.

  
"
"







  
  
    Does exactly was it says on the tin!
  
",5.0 out of 5 stars,"









  
  
    
  Great water based spray. Good mist and not too heavy on face. It is just water at the end of the day but it's the best one I can find that you can buy easily on Amazon or the high Street!

  
"
"







  
    Buen tratamiento para la piel
  
  
",5.0 out of 5 stars,"









  
    
  Me lo recomendó mi dermatologa y tuve mis dudas sin embargo lo compre..hoy día no puedo dejar el agua termal!!!

  
  
"
"







  
    Señora
  
  
",4.0 out of 5 stars,"









  
    
  La piel de siente fresca y lista para poner tu crema.. Bueno para piel sensible

  
  
"
"







  
  
    Nozzle immediately broke
  
",1.0 out of 5 stars,"









  
  
    
  Probably a good product but the nozzle broke as soon as I pressed it so I was never able to use the thermal water.  I was very disappointed.  The can is still completely full

  
"
"







  
    Continuerò a vomprarla
  
  
",5.0 out of 5 stars,"









  
    
  Acqua termale della cita

  
  
"
"







  
    A prueba
  
  
",5.0 out of 5 stars,"









  
    
  Comencé a ir al dermatólogo y me recetaron este producto, así que lo pondré a prueba durante 2 meses y actualizaré mi reseña a ver que tal funciona!

  
  
"
"







  
  
    “Good” mornings
  
",5.0 out of 5 stars,"









  
  
    
  I never wash my face when i wake up. Instead use this natural refreshing spray. Avoiding all hassles and artificials in the tab water

  
"
"







  
    Magnífico producto pero costoso
  
  
",5.0 out of 5 stars,"









  
    
  Lo amo pero me sangra el bolsillo!

  
  
"
"







  
    Frasco medio lleno.
  
  
",1.0 out of 5 stars,"









  
    
  El frasco viene semi vacío, es decir como si estuviera usado ya que se nota bastante que le hace falta producto dentro, sin envoltorio como normalmente lo he comprado en farmacia. No vale la pena.

  
  
"
"







  
    Gut
  
  
",4.0 out of 5 stars,"









  
    
  Wirkt ganz gut. Erfrischend

  
  
"
"







  
    Muy buen producto
  
  
",5.0 out of 5 stars,"









  
    
  Que la cara queda hidratada

  
  
"
"







  
  
    Item came with a broken cap, it was broken in half.
  
",1.0 out of 5 stars,"









  
  
    
  The packaging was not damaged though... not sure if the contents are still any good, or if it's a fake product?

  
"
"







  
    Buena calidad
  
  
",4.0 out of 5 stars,"









  
    
  Soy usuaria frecuente del producto, aquí a muy buen precio.

  
  
"
"







  
    Muy bien
  
  
",5.0 out of 5 stars,
"







  
  
    Perfect for me
  
",5.0 out of 5 stars,"









  
  
    
  Love this product!

  
"
"







  
    Espectacular
  
  
",5.0 out of 5 stars,"









  
    
  Excelente, adoro esta agua termal! Refresca

  
  
"
"







  
  
    Over all okay
  
",5.0 out of 5 stars,"









  
  
    
  Definitely can feel the PH of the skin changing. Is with a somewhat strong stinging tingle to it. If you can not handle a stinging like tingling, you may want something less aggressive. However, I can handle it and do like it. I am only offering an opinion and a guess being that I don’t have sensitive skin. Almost forgot, would be good if you use hyaluronic acid on your skin (body only). Excellent prep for hyaluronic application. 👍🏻

  
"
"







  
    Fantástico
  
  
",5.0 out of 5 stars,"









  
    
  Me encanta me da brillo a la piel me lo deja muy joven me gusta mucho fabuloso producto

  
  
"
"







  
    La migliore in assoluto!
  
  
",5.0 out of 5 stars,"









  
    
  Assolutamente un must-have da avere sempre con sé, immancabile nella routine quotidiana!L’acqua termale La Roche-Posay ha un’azione altamente lenitiva (specialmente post esposizione solare), è rinfrescante, ricca di minerali che fanno benissimo alla nostra pelle.Adatta a tutti i tipi di pelle, specialmente le più sensibili!

  
  
"
"







  
    Buenísima
  
  
",5.0 out of 5 stars,"









  
    
  Excelente, me encanta como se dispersa el agua, se siente muy fresca, hidratante y ayuda a calmar la sensación de ardor del rostro. Sin duda la volvería a comprar.

  
  
"
"







  
  
    Best water facial spray
  
",5.0 out of 5 stars,"









  
  
    
  Spray is consistent and water droplets are super fine. My favorite of the facial sprays. Will order again.

  
"
"







  
    Muy bueno
  
  
",5.0 out of 5 stars,"









  
    
  Muy rica y no reseca

  
  
"
"







  
    Vacío
  
  
",1.0 out of 5 stars,"









  
    
  Lo eh comprado varias veces, y no me había pasado esto, al levantar la botella y agitarla se siente a la mitad, no trae el producto completo, lo cual no me parece justo, me siento muy inconforme con lo que recibí.

  
  
"
"







  
    Perfetto
  
  
",5.0 out of 5 stars,"









  
    
  Perfetto

  
  
"
"







  
  
    It really works!
  
",5.0 out of 5 stars,"









  
  
    
  Perfect for rosacea reduces redness.

  
"
"







  
  
    Sensitive skin
  
",5.0 out of 5 stars,"









  
  
    
  Help to smooth my sensitive skin!

  
"
"







  
  
    Great product
  
",5.0 out of 5 stars,"









  
  
    
  Very refreshing and outstanding product.

  
"
"







  
    Hat alles prima geklappt
  
  
",5.0 out of 5 stars,"









  
    
  Optimal für solche heißen Tage.  Meine empfindliche Haut fühlt sich wieder wohl.

  
  
"
"







  
  
    Broken
  
",1.0 out of 5 stars,"









  
  
    
  Received the bottle broken, bottle cap is badly broken and bottle also had dents on it. Not happy with the product delivery. Also the item cannot be returned because of the policy

  
"
"







  
  
    I love this product, tríelo benefits my skin!
  
",5.0 out of 5 stars,"









  
  
    
  I use this as a toner and apply it before my moisturizer. I love it! Great product!

  
"
"







  
    Muito bom
  
  
",5.0 out of 5 stars,"









  
    
  Melhor produto!A entrega veio com vários brindes também, maior legal

  
  
"
"







  
    Maravilloso
  
  
",5.0 out of 5 stars,"









  
    
  Es muy refrescante, y dura mucho. La verdad si lo recomiendo mucho, el envase de verdad es grande y en mi experiencia es de gran ayuda sobre todo que también sirve en personas con molestias en piel como picaduras de animalitos o si pasaron mucho tiempo en el sol

  
  
"
"







  
    Ist den Preis wert!
  
  
",5.0 out of 5 stars,"









  
    
  Hilft super bei empfindlicher und gereizter Haut, benutze ich mehrmal täglich. Die Grösse ist eher für zuhause, für unterwegs würde ich eine kleinere Grösse bestellen.

  
  
"
"







  
  
    Damaged
  
",1.0 out of 5 stars,"









  
  
    
  Why is the cap broken?

  
"
"







  
    Buono ma arrivato senza sigillo
  
  
",3.0 out of 5 stars,"









  
    
  Questo prodotto e buono ,però mi e arrivato non con sigillo e per questo dubbio che sia vero ,un buon prodotto però non credo che è originale

  
  
"
"







  
    Bruma refrescante e hidratante agradable en cualquier momento
  
  
",5.0 out of 5 stars,"









  
    
  Las propiedades no son correctas aplicadas a este productoCalidez No porque es una agua que hidrata y refrescaElasticidad No porque se trata de un líquido

  
  
"
"







  
    Non male
  
  
",4.0 out of 5 stars,"









  
    
  E’ il primo che acquisto in spray, Bagna molto il viso.non so se può essere applicato sul trucco senza farlo colare. Si assorbe facilmente e rimane tipo un alone sul viso.

  
  
"
"







  
    Es una maravilla
  
  
",5.0 out of 5 stars,"









  
    
  Es una maravilla! La recomiendo mucho! La utilizamos en casa para cuando tenemos alguna irritación y de la noche a la mañana las desaparece por completo, a veces la uso como tónico facial y me gusta mucho, la quiero para siempre en mi vida jajaja

  
  
"
"







  
    Excelente producto para la piel
  
  
",5.0 out of 5 stars,"









  
    
  Excelente producto para la piel.

  
  
"
"







  
  
    Buy it!!
  
",5.0 out of 5 stars,"









  
  
    
  Buy this!! I saw a dermatologist use this on tiktok so I picked it up to try and I have to say it is now a product I don't want to live without. Spritz this on your face after a hot shower, let the minerals sink in, it just feels so good. I use this instead of a toner now.It is a must have for me.

  
"
"







  
    acqua termale
  
  
",4.0 out of 5 stars,"









  
    
  buon prodotto

  
  
"
"







  
    Me encanta
  
  
",5.0 out of 5 stars,"









  
    
  La uso desde hace años, me encanta que hidrata y refresca la piel. Ayuda con los pequeños enrojecimientos.

  
  
"
"







  
  
    Game changer
  
",5.0 out of 5 stars,"









  
  
    
  This has been a game changer for my moisturizing routine. Love it!

  
"
"







  
  
    Nourishing
  
",5.0 out of 5 stars,"









  
  
    
  Very nice and nourishing. I spray this on before moisturizing

  
"
"







  
    Mai più senza
  
  
",5.0 out of 5 stars,"









  
    
  Mai più senza, ottima per idratare, contro le irritazioni, punture di zanzare, arrossamenti e scottature.

  
  
"
"







  
  
    Great product works!
  
",5.0 out of 5 stars,"









  
  
    
  Love this product freshens up skin 5 stars

  
"
"







  
    Soddisfatta!!
  
  
",5.0 out of 5 stars,"









  
    
  Dona una freschezza immediata, inoltre è anche molto idratante e per quanti ml possiede il flacone, il rapporto qualità-prezzo è molto buono!!

  
  
"
"







  
  
    Love it as always
  
",5.0 out of 5 stars,"


















    
        

        
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    










  
  
    
   The retail store always out of stock for this product. They only have the small one, but I personally love the large one. That’s why I  purchase them online. :)

  
"
"







  
  
    dont' order from this supplier!!!
  
",1.0 out of 5 stars,"









  
  
    
  What a rip off. I love the product, but this arrived damaged as the nozzle is broken and doesn't dispense. Amazon won't refund me .....so I'm out $20!

  
"
"







  
    Tolles Spray guter Preis
  
  
",5.0 out of 5 stars,"









  
    
  Super erfrischend!Zur Fixierung des Make up.Oder zwischendurch.Bei empfindlicher geröteter Haut ideal!

  
  
"
"







  
    Ottimo prodotto ma servizio 👎
  
  
",5.0 out of 5 stars,"









  
    
  Prodotto top lo uso da tempo e da i suoi benefici.. l unica pecca e' che e' arrivato senza tappo non sigillato..... Sembra quasi gia usato.... Prodotto top ma servizio pessimo

  
  
"
"







  
    Fresco è adatto a tutti tipi di pelle
  
  
",5.0 out of 5 stars,"









  
    
  Da una  persona con la pelle molto delicata vi dico che questo prodotto fa la differenza. È fresco e non causa irritazioni. La Roche sempre ha prodotti ottimi

  
  
"
"







  
    BEST SELLER della mia beauty routine !
  
  
",5.0 out of 5 stars,"









  
    
  Il prodotto di cui non posso fare a meno! La uso ogni giorno mattina e sera dopo essermi struccata o semplicemente quando ho voglia di rinfrescarmi il visoLa ADORO

  
  
"
"







  
  
    Leaves the skin soft and hydrated
  
",5.0 out of 5 stars,"









  
  
    
  I am from France, so I've been using this product for a very long time. I am also an esthetician, so my advice is to use it before applying your serum and/or moisturizer for better product absorption. You can also use it throughout the day to refresh and re-hydrate your skin.

  
"
"







  
    Per tutta la famiglia
  
  
",4.0 out of 5 stars,"









  
    
  Ottima! Consigliata per tutti i tipi di pelle

  
  
"
